fixedacidity volatileacidity citricacid residualsugar chlorides freesulfurdioxide totalsulfurdioxide density pH sulphates alcohol y
7.2 0.3 0.26 1.5 0.041 46 178 0.99154 3.19 0.56 11.3 2
6.5 0.32 0.12 11.5 0.033 35 165 0.9974 3.22 0.32 9 1
6.7 0.34 0.3 15.6 0.054 51 196 0.9982 3.19 0.49 9.3 1
6.2 0.29 0.23 12.4 0.048 33 201 0.99612 3.11 0.56 9.9 2
5.8 0.15 0.49 1.1 0.048 21 98 0.9929 3.19 0.48 9.2 1
6 0.2 0.24 1.8 0.03 30 105 0.9909 3.31 0.47 11.5 2
7.9 0.27 0.27 1.7 0.034 25 122 0.99088 2.97 0.51 11.9 2
7.7 0.18 0.3 1.2 0.046 49 199 0.99413 3.03 0.38 9.3 1
5.8 0.12 0.21 1.3 0.056 35 121 0.9908 3.32 0.33 11.4 2
6.8 0.21 0.36 18.1 0.046 32 133 1 3.27 0.48 8.8 1
7.4 0.19 0.3 12.8 0.053 48.5 229 0.9986 3.14 0.49 9.1 3
6.3 0.17 0.32 4.2 0.04 37 117 0.99182 3.24 0.43 11.3 2
7.6 0.21 0.44 1.9 0.036 10 119 0.9913 3.01 0.7 12.8 2
7.4 0.19 0.3 12.8 0.053 48.5 212 0.9986 3.14 0.49 9.1 3
6.7 0.11 0.26 14.8 0.053 44 95 0.99676 3.2 0.35 9.8 2
7.5 0.23 0.29 2.6 0.031 24 98 0.99194 3 0.54 10.9 2
7.7 0.29 0.29 4.8 0.06 27 156 0.99572 3.49 0.59 10.3 2
7.1 0.26 0.31 2.2 0.044 29 128 0.9937 3.34 0.64 10.9 3
7.1 0.17 0.43 1.3 0.023 33 132 0.99067 3.11 0.56 11.7 2
6.6 0.24 0.38 8 0.042 56 187 0.99577 3.21 0.46 9.2 1
9 0.29 0.34 12.1 0.03 34 177 0.99706 3.13 0.47 10.6 1
6.3 0.23 0.3 1.8 0.033 16 91 0.9906 3.28 0.4 11.8 2
7.6 0.29 0.42 1.3 0.035 18 86 0.9908 2.99 0.39 11.3 1
6.4 0.26 0.49 6.4 0.037 37 161 0.9954 3.38 0.53 9.7 2
6.5 0.43 0.28 11.25 0.032 31 87 0.9922 3.02 0.38 12.4 2
3.8 0.31 0.02 11.1 0.036 20 114 0.99248 3.75 0.44 12.4 2
7.6 0.39 0.22 2.8 0.036 19 113 0.9926 3.03 0.29 10.2 1
7.4 0.2 0.37 16.95 0.048 43 190 0.9995 3.03 0.42 9.2 2
7.5 0.2 0.47 16.9 0.052 51 188 0.99944 3.09 0.62 9.3 1
6 0.19 0.29 1.2 0.046 29 92 0.99033 3.22 0.53 11.3 2
6 0.19 0.26 12.4 0.048 50 147 0.9972 3.3 0.36 8.9 2
5.7 0.25 0.32 12.2 0.041 43 127 0.99524 3.23 0.53 10.4 3
5.6 0.28 0.27 3.9 0.043 52 158 0.99202 3.35 0.44 10.7 3
6.4 0.26 0.3 2.2 0.025 33 134 0.992 3.21 0.47 10.6 2
7.4 0.21 0.3 8.1 0.047 13 114 0.9941 3.12 0.35 10.5 2
8.9 0.34 0.32 1.3 0.041 12 188 0.9953 3.17 0.49 9.5 1
6.7 0.26 0.26 4.1 0.073 36 202 0.9956 3.3 0.67 9.5 1
7.2 0.22 0.35 5.5 0.054 37 183 0.99474 3.08 0.5 10.3 1
7.6 0.16 0.41 1.9 0.047 27 151 0.9937 3.2 0.53 10.1 2
6.8 0.24 0.29 9.5 0.042 56 157 0.99586 3.11 0.51 10.1 2
7.3 0.14 0.49 1.1 0.038 28 99 0.9928 3.2 0.72 10.6 2
6.8 0.17 0.36 1.4 0.036 38 108 0.99006 3.19 0.66 12 2
6 0.44 0.26 3.1 0.053 57 128 0.98982 3.22 0.39 12.7 2
6.4 0.25 0.37 4.5 0.039 41 147 0.9921 3.18 0.4 11.1 3
6.6 0.18 0.26 17.3 0.051 17 149 0.9984 3 0.43 9.4 2
6.5 0.33 0.72 1.1 0.061 7 151 0.993 3.09 0.57 9.5 1
7.2 0.46 0.65 10.4 0.05 76 192 0.9976 3.16 0.42 8.7 1
6.8 0.25 0.34 4.7 0.031 34 134 0.9927 3.21 0.38 10.6 2
7.3 0.3 0.25 2.5 0.045 32 122 0.99329 3.18 0.54 10.3 1
6 0.2 0.26 6.8 0.049 22 93 0.9928 3.15 0.42 11 2
6.3 0.18 0.36 1.2 0.034 26 111 0.99074 3.16 0.51 11 2
7.1 0.26 0.19 8.2 0.051 53 187 0.996 3.16 0.52 9.7 1
7.8 0.4 0.49 7.8 0.06 34 162 0.9966 3.26 0.58 11.3 2
6.1 0.17 0.21 1.9 0.09 44 130 0.99255 3.07 0.41 9.7 1
7.3 0.22 0.37 14.3 0.063 48 191 0.9978 2.89 0.38 9 2
5.6 0.41 0.24 1.9 0.034 10 53 0.98815 3.32 0.5 13.5 3
8.1 0.5 0.47 1.1 0.037 23 126 0.9938 3.21 0.42 10.9 1
6.4 0.28 0.44 7.1 0.048 49 179 0.99528 3.15 0.48 9.2 1
6.4 0.23 0.35 10.3 0.042 54 140 0.9967 3.23 0.47 9.2 1
5.5 0.16 0.26 1.5 0.032 35 100 0.99076 3.43 0.77 12 2
9.7 0.24 0.49 4.9 0.032 3 18 0.99368 2.85 0.54 10 2
5.6 0.2 0.36 2.5 0.048 16 125 0.99282 3.49 0.49 10 2
6.2 0.46 0.25 4.4 0.066 62 207 0.9939 3.25 0.52 9.8 1
6.7 0.3 0.35 1.4 0.18 36 160 0.9937 3.11 0.54 9.4 2
6.3 0.16 0.4 1.6 0.033 59 148 0.9914 3.44 0.53 11.4 1
6.2 0.36 0.22 5.25 0.038 44 145 0.99184 3.22 0.4 11.2 2
5.9 0.29 0.28 3.2 0.035 16 117 0.98959 3.26 0.42 12.6 2
6.7 0.35 0.48 8.8 0.056 35 167 0.99628 3.04 0.47 9.4 1
6.1 0.23 0.27 9.8 0.055 74 134 0.99534 3.16 0.4 10.2 2
7.3 0.655 0.2 10.2 0.071 28 212 0.9971 2.96 0.58 9.2 2
7 0.15 0.28 14.7 0.051 29 149 0.99792 2.96 0.39 9 3
6.9 0.38 0.25 9.8 0.04 28 191 0.9971 3.28 0.61 9.2 1
7.2 0.2 0.36 2.5 0.028 22 157 0.9938 3.48 0.49 10.6 2
5.3 0.21 0.29 0.7 0.028 11 66 0.99215 3.3 0.4 9.8 1
6.4 0.29 0.21 9.65 0.041 36 119 0.99334 2.99 0.34 10.93333333 2
7.2 0.5 0 0.8 0.034 46 114 0.9932 3.19 0.34 9.2 1
5.7 0.21 0.32 0.9 0.038 38 121 0.99074 3.24 0.46 10.6 2
6.1 0.34 0.31 12 0.053 46 238 0.9977 3.16 0.48 8.6 1
6.3 0.29 0.29 3.3 0.037 32 140 0.9895 3.17 0.36 12.8 3
7 0.21 0.28 8.6 0.045 37 221 0.9954 3.25 0.54 10.4 2
8.1 0.17 0.44 14.1 0.053 43 145 1.0006 3.28 0.75 8.8 3
6.2 0.26 0.37 7.1 0.047 54 201 0.99523 3.19 0.48 9.5 2
6.2 0.35 0.2 18.1 0.069 33 158 0.99908 3.15 0.5 8.8 2
7.5 0.34 0.28 4 0.028 46 100 0.98958 3.2 0.5 13.2 3
7.5 0.705 0.1 13 0.044 44 214 0.99741 3.1 0.5 9.1 1
7.1 0.2 0.3 0.9 0.019 4 28 0.98931 3.2 0.36 12 2
7.6 0.28 0.39 1.9 0.052 23 116 0.9941 3.25 0.4 10.4 2
7.5 0.24 0.29 1.1 0.046 34 84 0.9902 3.04 0.39 11.45 2
6.5 0.24 0.32 7.6 0.038 48 203 0.9958 3.45 0.54 9.7 3
6.4 0.2 0.32 3.1 0.041 18 126 0.9914 3.43 0.42 12 2
7.5 0.33 0.32 11.1 0.036 25 119 0.9962 3.15 0.34 10.5 2
6.8 0.11 0.27 8.6 0.044 45 104 0.99454 3.2 0.37 9.9 2
6.8 0.39 0.35 11.6 0.044 57 220 0.99775 3.07 0.53 9.3 1
8.2 0.37 0.64 13.9 0.043 22 171 0.99873 2.99 0.8 9.3 1
7.4 0.2 0.36 1.2 0.038 44 111 0.9926 3.36 0.34 9.9 2
6.3 0.34 0.33 4.6 0.034 19 80 0.9917 3.38 0.58 12 3
6.5 0.27 0.19 6.6 0.045 98 175 0.99364 3.16 0.34 10.1 2
8.3 0.42 0.62 19.25 0.04 41 172 1.0002 2.98 0.67 9.7 1
8.8 0.2 0.43 15 0.053 60 184 1.0008 3.28 0.79 8.8 2
9.4 0.16 0.23 1.6 0.042 14 67 0.9942 3.07 0.32 9.5 1
6.9 0.24 0.37 6.1 0.027 38 112 0.99086 3.19 0.34 12.4 2
6 0.27 0.26 1.3 0.038 32 138 0.99125 3.46 0.43 11.1 2
9.4 0.16 0.3 1.4 0.042 26 176 0.9954 3.15 0.46 9.1 1
7.6 0.27 0.25 13.9 0.05 45 199 0.9984 3.34 0.5 9.8 2
5.7 0.255 0.65 1.2 0.079 17 137 0.99307 3.2 0.42 9.4 1
7.1 0.09 0.3 6.2 0.032 24 134 0.993 2.99 0.39 10.9 2
4.7 0.335 0.14 1.3 0.036 69 168 0.99212 3.47 0.46 10.5 1
7.1 0.17 0.31 1.6 0.037 15 103 0.991 3.14 0.5 12 2
9.4 0.28 0.3 1.6 0.045 36 139 0.99534 3.11 0.49 9.3 1
6.4 0.18 0.35 1 0.045 39 108 0.9911 3.31 0.35 10.9 2
7.3 0.26 0.33 11.8 0.057 48 127 0.99693 3.1 0.55 10 2
7 0.39 0.21 10.7 0.098 13 91 0.99657 3.03 0.47 9.3 1
7.3 0.34 0.39 5.2 0.04 45 163 0.9925 3.3 0.47 12.4 2
7 0.28 0.36 1 0.035 8 70 0.9899 3.09 0.46 12.1 2
6.7 0.265 0.22 8.6 0.048 54 198 0.9955 3.25 0.41 10.2 1
5.5 0.35 0.35 1.1 0.045 14 167 0.992 3.34 0.68 9.9 2
7.4 0.29 0.48 12.8 0.037 61.5 182 0.99808 3.02 0.34 8.8 1
7.1 0.34 0.15 1.2 0.053 61 183 0.9936 3.09 0.43 9.2 1
7 0.21 0.28 7.5 0.07 45 185 0.9966 3.34 0.55 9.4 1
6.1 0.27 0.32 1.1 0.034 24 110 0.9898 3.36 0.4 12.5 2
6.8 0.26 0.29 11.9 0.052 54 160 0.99546 3.03 0.58 10.4 2
7.4 0.105 0.34 12.2 0.05 57 146 0.9973 3.16 0.37 9 2
8.4 0.19 0.43 2.1 0.052 20 104 0.994 2.85 0.46 9.5 1
7.6 0.2 0.3 14.2 0.056 53 212.5 0.999 3.14 0.46 8.9 3
6.6 0.38 0.36 9.2 0.061 42 214 0.9976 3.31 0.56 9.4 1
6.8 0.33 0.31 7.4 0.045 34 143 0.99226 3.06 0.55 12.2 2
7 0.35 0.3 6.5 0.028 27 87 0.9936 3.4 0.42 11.4 3
7.2 0.25 0.28 14.4 0.055 55 205 0.9986 3.12 0.38 9 3
8.4 0.28 0.4 8.9 0.048 33 146 0.9988 3.4 0.46 9.3 1
6.4 0.5 0.2 2.4 0.059 19 112 0.99314 3.18 0.4 9.2 2
7.5 0.31 0.51 14.8 0.039 62 204 0.9982 3.06 0.6 9.5 1
6.8 0.28 0.43 7.6 0.03 30 110 0.99164 3.08 0.59 12.5 3
7.1 0.28 0.19 7.8 0.04 48 184 0.99579 3.16 0.5 9.4 1
7 0.19 0.23 5.7 0.123 27 104 0.9954 3.04 0.54 9.4 2
6.5 0.24 0.32 7.6 0.038 48 203 0.9958 3.45 0.54 9.7 3
6.5 0.23 0.33 13.8 0.042 25 139 0.99695 3.35 0.56 10.4 2
6.4 0.38 0.24 7.2 0.047 41 151 0.99604 3.11 0.6 9.2 1
6.2 0.53 0.02 0.9 0.035 6 81 0.99234 3.24 0.35 9.5 1
5.7 0.26 0.25 10.4 0.02 7 57 0.994 3.39 0.37 10.6 1
6 0.26 0.29 3.1 0.041 37 144 0.98944 3.22 0.39 12.8 3
6.9 0.19 0.33 1.6 0.039 27 98 0.9898 3.09 0.46 12.3 3
6.9 0.39 0.22 4.3 0.03 10 102 0.993 3 0.87 11.6 1
6.9 0.3 0.3 1.3 0.053 24 186 0.99361 3.29 0.54 9.9 1
6.5 0.27 0.19 6.6 0.045 98 175 0.99364 3.16 0.34 10.1 2
7 0.14 0.28 1.3 0.026 10 56 0.99352 3.46 0.45 9.9 1
6.4 0.29 0.32 2.4 0.014 34 89 0.99008 3.24 0.66 12.5 3
6.3 0.41 0.22 7.3 0.035 23 117 0.99172 3.2 0.39 11.94 3
7.6 0.31 0.23 12.7 0.054 20 139 0.99836 3.16 0.5 9.7 1
6 0.19 0.26 12.4 0.048 50 147 0.9972 3.3 0.36 8.9 2
6.8 0.37 0.51 11.8 0.044 62 163 0.9976 3.19 0.44 8.8 1
6.9 0.19 0.35 1.7 0.036 33 101 0.99315 3.21 0.54 10.8 3
7.2 0.46 0.65 10.4 0.05 76 192 0.9976 3.16 0.42 8.7 1
6.9 0.22 0.43 6.4 0.042 34 115 0.99293 3.05 0.51 10.8 2
5.6 0.19 0.26 1.4 0.03 12 76 0.9905 3.25 0.37 10.9 3
6.4 0.29 0.3 6.5 0.209 62 156 0.99478 3.1 0.4 9.4 1
5.6 0.21 0.24 4.4 0.027 37 150 0.991 3.3 0.31 11.5 3
7.1 0.18 0.32 12.2 0.048 36 125 0.9967 2.92 0.54 9.4 2
7 0.26 0.46 15.55 0.037 61 171 0.9986 2.94 0.35 8.8 2
7.4 0.22 0.27 1.6 0.057 45 98 0.99299 3.29 0.44 9.9 3
8.3 0.22 0.38 14.8 0.054 32 126 1.0002 3.22 0.5 9.7 1
6.9 0.4 0.37 8.9 0.053 36 148 0.996 3.16 0.5 9.3 1
9.2 0.28 0.49 11.8 0.042 29 137 0.998 3.1 0.34 10.1 1
7.5 0.19 0.49 1.8 0.055 19 110 0.9946 3.33 0.44 9.9 1
8 0.42 0.36 5 0.037 34 101 0.992 3.13 0.57 12.3 3
6.2 0.31 0.21 6.3 0.041 50 218 0.9941 3.15 0.6 10 1
6.2 0.23 0.36 17.2 0.039 37 130 0.99946 3.23 0.43 8.8 2
8.4 0.35 0.56 13.8 0.048 55 190 0.9993 3.07 0.58 9.4 2
14.2 0.27 0.49 1.1 0.037 33 156 0.992 3.15 0.54 11.1 2
7.8 0.43 0.49 13 0.033 37 158 0.9955 3.14 0.35 11.3 2
7.6 0.23 0.49 10 0.036 45 182 0.9967 3.08 0.58 9.6 2
6.6 0.34 0.25 4.8 0.038 16 121 0.99198 3.36 0.71 12.6 2
6.1 0.2 0.17 1.6 0.048 46 129 0.991 3.3 0.43 11.4 2
6.5 0.13 0.27 2.6 0.035 32 76 0.9914 3.21 0.76 11.33333333 2
7.8 0.2 0.24 1.6 0.026 26 189 0.991 3.08 0.74 12.1 3
7.4 0.19 0.42 6.4 0.067 39 212 0.9958 3.3 0.33 9.6 2
6.9 0.26 0.38 10.5 0.044 33 139 0.99517 3.06 0.5 10.3 2
7.5 0.18 0.72 9.6 0.039 53 151 0.99802 3.03 0.46 8.9 1
6.7 0.27 0.31 15.7 0.036 44 179 0.9979 3.26 0.56 9.6 1
7.5 0.23 0.32 9.2 0.038 54 191 0.9966 3.04 0.56 9.7 2
6.2 0.34 0.29 7.6 0.047 45 232 0.9955 3.35 0.62 10 2
6.2 0.22 0.3 12.4 0.054 108 152 0.99728 3.1 0.47 9.5 2
7.3 0.25 0.29 7.5 0.049 38 158 0.9965 3.43 0.38 9.6 1
6.8 0.18 0.37 1.6 0.055 47 154 0.9934 3.08 0.45 9.1 1
7 0.2 0.33 4.7 0.03 25 76 0.99202 2.88 0.54 10.5 2
7.7 0.34 0.3 8 0.048 25 192 0.9951 2.97 0.47 10.9 1
5.8 0.36 0.5 1 0.127 63 178 0.99212 3.1 0.45 9.7 1
6 0.26 0.15 1.3 0.06 51 154 0.99354 3.14 0.51 8.7 1
7.1 0.26 0.3 2 0.031 13 128 0.9917 3.19 0.49 11.4 1
5.6 0.32 0.33 7.4 0.037 25 95 0.99268 3.25 0.49 11.1 2
8.4 0.32 0.35 11.7 0.029 3 46 0.99439 3.02 0.34 11.8 2
7.1 0.2 0.36 11.6 0.042 45 124 0.997 2.92 0.59 9.5 3
7.8 0.26 0.31 3.6 0.025 22 100 0.99066 2.99 0.47 12.1 3
7.4 0.4 0.41 14.1 0.053 37 194 0.99886 3.2 0.63 9.4 2
6.8 0.26 0.29 16.95 0.056 48 179 0.9998 3.45 0.4 9.6 1
6.1 0.21 0.38 1.5 0.039 37 122 0.98972 3.2 0.43 12 2
7.2 0.19 0.31 6.3 0.034 17 103 0.99305 3.15 0.52 11.4 3
7.7 0.18 0.35 5.8 0.055 25 144 0.99576 3.24 0.54 10.2 2
6.8 0.32 0.37 3.4 0.023 19 87 0.9902 3.14 0.53 12.7 2
6.6 0.16 0.21 6.7 0.055 43 157 0.99384 3.15 0.52 10.8 2
6 0.26 0.34 1.3 0.046 6 29 0.9924 3.29 0.63 10.4 1
6.6 0.16 0.3 1.6 0.034 15 78 0.992 3.38 0.44 11.2 2
6.8 0.22 0.31 6.3 0.035 33 170 0.9918 3.24 0.66 12.6 2
7.6 0.18 0.28 7.1 0.041 29 110 0.99652 3.2 0.42 9.2 2
7.7 0.29 0.48 2.3 0.049 36 178 0.9931 3.17 0.64 10.6 2
6.8 0.31 0.25 10.5 0.043 30 165 0.9972 3.36 0.55 10.55 2
6.1 0.34 0.21 5 0.042 17 133 0.99373 3.02 0.53 9.4 1
7.1 0.13 0.4 1.2 0.047 54 134 0.9932 3.3 0.97 9.8 3
5.8 0.15 0.31 5.9 0.036 7 73 0.99152 3.2 0.43 11.9 2
7 0.23 0.42 1.1 0.062 35 100 0.99318 3.04 0.4 9.2 1
6.2 0.39 0.24 4.8 0.037 45 138 0.99174 3.23 0.43 11.2 3
7 0.12 0.28 6.3 0.057 17 103 0.9957 3.5 0.44 9.6 1
6.8 0.36 0.24 4.6 0.039 24 124 0.9909 3.27 0.34 12.6 3
6.2 0.22 0.28 2.2 0.04 24 125 0.9917 3.19 0.48 10.5 2
7.4 0.24 0.29 10.1 0.05 21 105 0.9962 3.13 0.35 9.5 1
8.1 0.25 0.34 10.1 0.05 30 121 0.99724 3.17 0.49 10.1 2
6 0.28 0.22 12.15 0.048 42 163 0.9957 3.2 0.46 10.1 1
5.9 0.31 0.3 7.7 0.047 60 206 0.995 3.2 0.39 9.6 2
7.1 0.39 0.3 9.9 0.037 29 124 0.99414 3.07 0.42 10.9 2
7.5 0.21 0.32 4.8 0.056 39 113 0.99393 3.11 0.52 10.2 3
7.6 0.31 0.23 12.7 0.054 20 139 0.99836 3.16 0.5 9.7 1
8.3 0.2 0.49 1.7 0.04 34 169 0.9938 3.05 0.37 10.1 1
6.3 0.255 0.37 1.1 0.04 37 114 0.9905 3 0.39 10.9 2
7 0.15 0.34 1.4 0.039 21 177 0.9927 3.32 0.62 10.8 1
6.3 0.28 0.29 6.8 0.051 40 143 0.99374 3.43 0.59 11 2
7 0.32 0.27 7.1 0.027 37 122 0.99165 3.15 0.6 12.6 3
6.4 0.45 0.07 1.1 0.03 10 131 0.9905 2.97 0.28 10.8 1
5.9 0.24 0.3 2 0.033 28 92 0.99225 3.39 0.69 10.9 3
5.5 0.12 0.33 1 0.038 23 131 0.99164 3.25 0.45 9.8 1
7.1 0.14 0.4 1.2 0.051 55 136 0.9932 3.3 0.96 9.8 3
6.4 0.46 0.08 4.9 0.046 34 144 0.99445 3.1 0.56 10 1
6.2 0.28 0.41 5 0.043 50 188 0.99318 3.23 0.64 10.8 2
6.5 0.28 0.27 5.2 0.04 44 179 0.9948 3.19 0.69 9.4 2
6.3 0.27 0.49 1.2 0.063 35 92 0.9911 3.38 0.42 12.2 2
7.3 0.18 0.29 1 0.036 26 101 0.99 3.09 0.37 11.7 2
8.4 0.23 0.32 1.3 0.048 59 113 0.99178 3.1 0.55 11 2
9.9 0.49 0.23 2.4 0.087 19 115 0.9948 2.77 0.44 9.4 2
6.3 0.26 0.24 7.2 0.039 38 172 0.9958 3.49 0.64 9.7 2
7.3 0.24 0.34 15.4 0.05 38 174 0.9983 3.03 0.42 9 2
6.8 0.29 0.16 1.4 0.038 122.5 234.5 0.9922 3.15 0.47 10 1
5.8 0.27 0.26 3.5 0.071 26 69 0.98994 3.1 0.38 11.5 2
6.9 0.2 0.34 1.9 0.043 25 136 0.9935 3.31 0.6 10.1 1
7.3 0.15 0.4 2 0.05 24 92 0.9932 3.14 0.45 10.5 1
7.3 0.24 0.39 17.95 0.057 45 149 0.9999 3.21 0.36 8.6 1
6 0.28 0.24 17.8 0.047 42 111 0.99896 3.1 0.45 8.9 2
6.8 0.26 0.22 7.7 0.047 57 210 0.9959 3.1 0.47 9 1
7.2 0.14 0.32 1.1 0.022 48 116 0.99218 3.04 0.67 10 2
7.3 0.19 0.68 1.5 0.05 31 156 0.9946 3.32 0.64 9.4 2
7.2 0.31 0.24 1.4 0.057 17 117 0.9928 3.16 0.35 10.5 1
6.4 0.29 0.57 1 0.06 15 120 0.9924 3.06 0.41 9.5 1
6.2 0.22 0.28 2.2 0.04 24 125 0.9917 3.19 0.48 10.5 2
6.1 0.22 0.4 1.85 0.031 25 111 0.98966 3.03 0.3 11.8 3
7 0.22 0.26 9.2 0.027 37 122 0.99228 3.06 0.34 12.5 3
5.7 0.24 0.3 1.3 0.03 25 98 0.98968 3.37 0.43 12.4 3
5.9 0.48 0.3 1.5 0.037 19 78 0.99057 3.47 0.42 11.9 3
7 0.3 0.27 1.5 0.076 24 145 0.99344 3.1 0.52 10.1 1
6.4 0.14 0.28 7.9 0.057 21 82 0.99425 3.26 0.36 10 2
6.9 0.37 0.23 9.5 0.057 54 166 0.99568 3.23 0.42 10 1
7.4 0.24 0.4 4.3 0.032 9 95 0.992 3.09 0.39 11.1 2
8.1 0.25 0.38 3.8 0.051 18 129 0.9928 3.21 0.38 11.5 2
7.1 0.22 0.74 2.7 0.044 42 144 0.991 3.31 0.41 12.2 2
7.3 0.25 0.26 7.2 0.048 52 207 0.99587 3.12 0.37 9.2 1
6.2 0.35 0.03 1.2 0.064 29 120 0.9934 3.22 0.54 9.1 1
8.6 0.23 0.25 11.3 0.031 13 96 0.99645 3.11 0.4 10.8 1
6.6 0.36 0.52 11.3 0.046 8 110 0.9966 3.07 0.46 9.4 1
7 0.14 0.4 1.7 0.035 16 85 0.9911 3.19 0.42 11.8 2
8.1 0.2 0.3 1.3 0.036 7 49 0.99242 2.99 0.73 10.3 1
8 0.22 0.42 14.6 0.044 45 163 1.0003 3.21 0.69 8.6 3
8 0.23 0.35 9.2 0.044 53 186 0.997 3.09 0.56 9.5 3
6.8 0.22 0.36 1.2 0.052 38 127 0.9933 3.04 0.54 9.2 1
6.8 0.17 0.17 5.1 0.049 26 82 0.993 3 0.38 9.8 2
7.8 0.29 0.33 8.75 0.035 33 181 0.9962 3.11 0.46 10.7 1
6.1 0.27 0.3 16.7 0.039 49 172 0.99985 3.4 0.45 9.4 1
7 0.2 0.35 8.8 0.037 31 103 0.99388 3.13 0.49 11 2
8 0.32 0.36 4.6 0.042 56 178 0.9928 3.29 0.47 12 2
9.7 0.24 0.49 4.9 0.032 3 18 0.99368 2.85 0.54 10 2
6.4 0.26 0.24 6.4 0.04 27 124 0.9903 3.22 0.49 12.6 3
7.2 0.16 0.29 1 0.031 40 123 0.98958 3.12 0.4 12.1 3
6.8 0.27 0.35 7.8 0.048 76 197 0.9959 3.24 0.43 9.5 2
6.4 0.12 0.49 6.4 0.042 49 161 0.9945 3.34 0.44 10.4 2
6.2 0.37 0.22 8.3 0.025 36 216 0.9964 3.33 0.6 9.6 2
6.9 0.19 0.33 1.6 0.043 63 149 0.9925 3.44 0.52 10.8 1
8.1 0.24 0.26 11 0.043 41 211 0.99676 3.11 0.49 10 2
6 0.33 0.27 0.8 0.185 12 188 0.9924 3.12 0.62 9.4 1
7.1 0.25 0.25 1.6 0.046 50 181 0.9925 3.2 0.42 11 3
8.1 0.33 0.36 7.4 0.037 36 156 0.99592 3.19 0.54 10.6 2
5.9 0.36 0.04 5.7 0.046 21 87 0.9934 3.22 0.51 10.2 1
8 0.29 0.29 13.2 0.046 26 113 0.9983 3.25 0.37 9.7 2
6 0.4 0.3 1.6 0.047 30 117 0.9931 3.17 0.48 10.1 2
7.9 0.28 0.32 3.6 0.038 9 76 0.992 3.05 0.31 11.7 1
8.2 0.26 0.49 5.2 0.04 19 100 0.9941 3.12 0.34 10.1 2
6.9 0.28 0.31 7.2 0.04 47 168 0.9946 3.29 0.57 10.6 3
6.5 0.17 0.31 1.5 0.041 34 121 0.99092 3.06 0.46 10.5 2
6.8 0.18 0.3 12.8 0.062 19 171 0.99808 3 0.52 9 3
6.3 0.28 0.47 11.2 0.04 61 183 0.99592 3.12 0.51 9.5 2
6.4 0.34 0.1 1.1 0.048 19 84 0.9927 3.21 0.38 9.8 1
5.7 0.695 0.06 6.8 0.042 9 84 0.99432 3.44 0.44 10.2 1
6.2 0.38 0.42 2.5 0.038 34 117 0.99132 3.36 0.59 11.6 3
6.8 0.25 0.29 2 0.042 19 189 0.9952 3.46 0.54 10.2 2
8 0.2 0.3 8.1 0.037 42 130 0.99379 3.1 0.67 11.8 2
8.1 0.24 0.38 4.3 0.044 49 172 0.996 3.37 0.74 10.8 2
6.1 0.36 0.58 15 0.044 42 115 0.9978 3.15 0.51 9 1
5.4 0.31 0.47 3 0.053 46 144 0.9931 3.29 0.76 10 1
7.6 0.28 0.39 1.2 0.038 21 115 0.994 3.16 0.67 10 2
7.8 0.445 0.56 1 0.04 8 84 0.9938 3.25 0.43 10.8 1
6.7 0.46 0.18 2.4 0.034 25 98 0.9896 3.08 0.44 12.6 3
6.2 0.47 0.19 8.3 0.029 24 142 0.992 3.22 0.45 12.3 2
7.5 0.22 0.32 2.4 0.045 29 100 0.99135 3.08 0.6 11.3 3
6.6 0.41 0.31 1.6 0.042 18 101 0.99195 3.13 0.41 10.5 1
6.5 0.51 0.25 1.7 0.048 39 177 0.99212 3.28 0.57 10.6 1
7 0.32 0.24 6.2 0.048 31 228 0.9957 3.23 0.62 9.4 2
6.7 0.2 0.24 6.5 0.044 28 100 0.99348 3.12 0.33 10.2 2
6.3 0.3 0.29 2.1 0.048 33 142 0.98956 3.22 0.46 12.9 3
7.9 0.33 0.26 1.2 0.044 23 103 0.9932 3.19 0.54 10.5 2
6.9 0.32 0.26 2.3 0.03 11 103 0.99106 3.06 0.42 11.1 2
6.6 0.435 0.38 9.2 0.058 66 243 0.99833 3.23 0.54 9.1 2
6.9 0.31 0.32 1.2 0.024 20 166 0.99208 3.05 0.54 9.8 2
6.9 0.25 0.26 5.2 0.024 36 135 0.9948 3.16 0.72 10.7 3
6.7 0.24 0.37 11.3 0.043 64 173 0.99632 3.08 0.53 9.9 2
7.5 0.14 0.34 1.3 0.055 50 153 0.9945 3.29 0.8 9.6 2
8 0.25 0.27 9.7 0.036 15 85 0.99406 2.99 0.36 11.2 2
7.6 0.36 0.48 13.5 0.038 44 116 0.9982 3.04 0.48 9.2 1
7.6 0.27 0.29 2.5 0.059 37 115 0.99328 3.09 0.37 9.8 1
6 0.33 0.26 5.1 0.051 16 119 0.99416 3.15 0.41 9.2 1
8 0.22 0.42 14.6 0.044 45 163 1.0003 3.21 0.69 8.6 3
7.5 0.32 0.37 1.2 0.048 22 184 0.9938 3.09 0.43 9.3 1
6.4 0.35 0.28 1.1 0.055 9 160 0.99405 3.42 0.5 9.1 3
6.8 0.19 0.32 7.6 0.049 37 107 0.99332 3.12 0.44 10.7 3
7.6 0.27 0.24 3.8 0.058 19 115 0.9958 3.15 0.45 8.9 1
8.3 0.3 0.36 10 0.042 33 169 0.9982 3.23 0.51 9.3 2
